id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
51,Neon Pulse,Night Signal,metal,happy,0.99,169,0.43,0.58,0.02
52,Velvet Canvas,Static Bloom,metal,chill,0.81,155,0.33,0.52,0.13
53,Silver Horizon,Glass Motel,metal,intense,0.99,171,0.27,0.59,0.03
54,Golden Echo,Aurora Line,metal,relaxed,0.84,156,0.38,0.50,0.12
55,Lunar Boulevard,Night Signal,metal,moody,0.94,162,0.27,0.53,0.08
56,Velvet Horizon,River Theory,folk,chill,0.30,70,0.59,0.45,0.89
57,Silver Echo,Nova Harbor,folk,intense,0.48,86,0.54,0.51,0.78
58,Golden Boulevard,City Script,folk,relaxed,0.24,71,0.60,0.45,0.92
59,Lunar Circuit,Paper Atlas,folk,moody,0.34,77,0.49,0.49,0.88
60,Midnight Letters,River Theory,folk,focused,0.34,77,0.58,0.50,0.86
61,Silver Boulevard,Static Bloom,blues,intense,0.52,95,0.35,0.50,0.70
62,Golden Circuit,Glass Motel,blues,relaxed,0.37,73,0.47,0.42,0.80
63,Lunar Letters,Aurora Line,blues,moody,0.47,86,0.35,0.45,0.76
64,Midnight Memory,Night Signal,blues,focused,0.38,86,0.40,0.49,0.78
65,Solar Skyline,Static Bloom,blues,reflective,0.33,72,0.37,0.41,0.83
66,Golden Letters,Nova Harbor,reggaeton,relaxed,0.77,92,0.82,0.85,0.16
67,Lunar Memory,City Script,reggaeton,moody,0.87,105,0.71,0.88,0.12
68,Midnight Skyline,Paper Atlas,reggaeton,focused,0.87,105,0.80,0.90,0.10
69,Solar Rhythm,River Theory,reggaeton,reflective,0.82,91,0.78,0.81,0.15
70,Crystal Pulse,Nova Harbor,reggaeton,confident,0.88,107,0.83,0.95,0.08
71,Lunar Skyline,Glass Motel,drum and bass,moody,0.97,167,0.62,0.84,0.08
72,Midnight Rhythm,Aurora Line,drum and bass,focused,0.88,174,0.66,0.88,0.11
73,Solar Pulse,Night Signal,drum and bass,reflective,0.83,160,0.63,0.79,0.16
74,Crystal Canvas,Static Bloom,drum and bass,confident,0.98,176,0.73,0.91,0.05
75,Urban Horizon,Glass Motel,drum and bass,nostalgic,0.90,169,0.68,0.82,0.12
76,Midnight Pulse,City Script,r&b,focused,0.62,99,0.66,0.77,0.31
77,Solar Canvas,Paper Atlas,r&b,reflective,0.57,85,0.63,0.69,0.36
78,Crystal Horizon,River Theory,r&b,confident,0.63,101,0.69,0.83,0.29
79,Urban Echo,Nova Harbor,r&b,nostalgic,0.55,87,0.64,0.74,0.38
80,Wild Boulevard,City Script,r&b,euphoric,0.73,110,0.74,0.83,0.24
81,Solar Horizon,Aurora Line,edm,reflective,0.81,120,0.68,0.84,0.17
82,Crystal Echo,Night Signal,edm,confident,0.96,136,0.78,0.95,0.06
83,Urban Boulevard,Static Bloom,edm,nostalgic,0.88,122,0.73,0.87,0.14
84,Wild Circuit,Glass Motel,edm,euphoric,0.97,145,0.80,0.98,0.05
85,Neon Letters,Aurora Line,edm,happy,0.94,135,0.80,0.95,0.07
86,Crystal Boulevard,Paper Atlas,country,confident,0.52,107,0.71,0.68,0.45
87,Urban Circuit,River Theory,country,nostalgic,0.44,93,0.66,0.59,0.53
88,Wild Letters,Nova Harbor,country,euphoric,0.62,109,0.77,0.67,0.40
89,Neon Memory,City Script,country,happy,0.59,106,0.77,0.65,0.41
90,Velvet Skyline,Paper Atlas,country,chill,0.40,92,0.66,0.59,0.53
91,Urban Letters,Night Signal,funk,nostalgic,0.68,104,0.75,0.83,0.27
92,Wild Memory,Static Bloom,funk,euphoric,0.86,120,0.86,0.92,0.14
93,Neon Skyline,Glass Motel,funk,happy,0.83,117,0.86,0.89,0.15
94,Velvet Rhythm,Aurora Line,funk,chill,0.73,103,0.80,0.80,0.22
95,Silver Pulse,Night Signal,funk,intense,0.91,119,0.74,0.87,0.12
96,Wild Skyline,River Theory,latin pop,euphoric,0.95,127,0.90,0.92,0.08
97,Neon Rhythm,Nova Harbor,latin pop,happy,0.83,117,0.85,0.92,0.13
98,Velvet Pulse,City Script,latin pop,chill,0.73,110,0.79,0.84,0.20
99,Silver Canvas,Paper Atlas,latin pop,intense,0.91,126,0.73,0.90,0.10
100,Golden Horizon,River Theory,latin pop,relaxed,0.76,104,0.84,0.81,0.19
